model_name,input_size_csv,input_size_cfg,crop_pct_csv,crop_pct_cfg,params_csv,params_tinfo,macs_tinfo,params_ptflops,macs_ptflops,activations
deit_base_distilled_patch16_384.fb_in1k,384,384,1.0,1.0,87.63,87630032,426774992,87630032,39361490960,184662456
deit_base_patch16_224.fb_in1k,224,224,0.9,0.9,86.57,86567656,201581032,86567656,12021392632,62940368
deit_base_patch16_384.fb_in1k,384,384,1.0,1.0,86.86,86859496,426005992,86859496,39282495352,184345808
deit_small_distilled_patch16_224.fb_in1k,224,224,0.9,0.9,22.44,22436432,79942352,22436432,3240292592,31630008
deit_small_patch16_224.fb_in1k,224,224,0.9,0.9,22.05,22050664,79557352,22050664,3222008944,31471184
deit_tiny_distilled_patch16_224.fb_in1k,224,224,0.9,0.9,5.91,5910800,34663760,5910800,919436384,15816504
deit_tiny_patch16_224.fb_in1k,224,224,0.9,0.9,5.72,5717416,34470760,5717416,913833004,15736592
deit3_base_patch16_224.fb_in1k,224,224,0.9,0.9,86.59,86585320,201581032,86585320,12021392632,62940368
deit3_base_patch16_224.fb_in22k_ft_in1k,224,224,1.0,1.0,86.59,86585320,201581032,86585320,12021392632,62940368
deit3_base_patch16_384.fb_in1k,384,384,1.0,1.0,86.88,86877160,426005992,86877160,39282495352,184345808
deit3_base_patch16_384.fb_in22k_ft_in1k,384,384,1.0,1.0,86.88,86877160,426005992,86877160,39282495352,184345808
deit3_huge_patch14_224.fb_in1k,224,224,0.9,0.9,632.13,632126440,823965160,632126440,113601204968,360540880
deit3_huge_patch14_224.fb_in22k_ft_in1k,224,224,1.0,1.0,632.13,632126440,823965160,632126440,113601204968,360540880
deit3_large_patch16_224.fb_in1k,224,224,0.9,0.9,304.37,304374760,457677800,304374760,41816812904,166224848
deit3_large_patch16_224.fb_in22k_ft_in1k,224,224,1.0,1.0,304.37,304374760,457677800,304374760,41816812904,166224848
deit3_large_patch16_384.fb_in1k,384,384,1.0,1.0,304.76,304763880,756911080,304763880,133339490664,486859728
deit3_large_patch16_384.fb_in22k_ft_in1k,384,384,1.0,1.0,304.76,304763880,756911080,304763880,133339490664,486859728
deit3_medium_patch16_224.fb_in1k,224,224,0.9,0.9,38.85,38849512,115513320,38849512,5535428424,41960912
deit3_medium_patch16_224.fb_in22k_ft_in1k,224,224,1.0,1.0,38.85,38849512,115513320,38849512,5535428424,41960912
deit3_small_patch16_224.fb_in1k,224,224,0.9,0.9,22.06,22059496,79557352,22059496,3222008944,31471184
deit3_small_patch16_224.fb_in22k_ft_in1k,224,224,1.0,1.0,22.06,22059496,79557352,22059496,3222008944,31471184
deit3_small_patch16_384.fb_in1k,384,384,1.0,1.0,22.21,22205416,191769832,22205416,11473365424,92173904
deit3_small_patch16_384.fb_in22k_ft_in1k,384,384,1.0,1.0,22.21,22205416,191769832,22205416,11473365424,92173904
densenet121.ra_in1k,288,224,0.95,0.875,7.98,7978856,4684375016,7978856,4741316072,94292688
densenet121.ra_in1k,224,224,0.875,0.875,7.98,7978856,2834162664,7978856,2868608488,57043664
densenet121.tv_in1k,224,224,0.875,0.875,7.98,7978856,2834162664,7978856,2868608488,57043664
densenet161.tv_in1k,224,224,0.875,0.875,28.68,28681000,7727908072,28681000,7791581416,104359664
densenet169.tv_in1k,224,224,0.875,0.875,14.15,14149480,3359844328,14149480,3401114088,67714896
